id,workclass,fnlwgt,education,occupation,relationship,race,sex,capital-gain,capital-loss,income,age-range,hours-range,nc
0,State-gov,77516,Bachelors,Adm-clerical,Not-in-family,White,Male,2174,0,<=50K,"(30, 45]","(20, 40]",NC-US
2,Private,215646,HS-grad,Handlers-cleaners,Not-in-family,White,Male,0,0,<=50K,"(30, 45]","(20, 40]",NC-US
8,Private,45781,Masters,Prof-specialty,Not-in-family,White,Female,14084,0,>50K,"(30, 45]","(40, 60]",NC-US
13,Private,205019,Assoc-acdm,Sales,Not-in-family,Black,Male,0,0,<=50K,"(30, 45]","(40, 60]",NC-US
17,Private,186824,HS-grad,Machine-op-inspct,Unmarried,White,Male,0,0,<=50K,"(30, 45]","(20, 40]",NC-US
19,Self-emp-not-inc,292175,Masters,Exec-managerial,Unmarried,White,Female,0,0,>50K,"(30, 45]","(40, 60]",NC-US
24,Private,109015,HS-grad,Tech-support,Unmarried,White,Female,0,0,<=50K,"(45, 60]","(20, 40]",NC-US
28,Private,367260,HS-grad,Exec-managerial,Not-in-family,White,Male,0,0,<=50K,"(30, 45]","(60, 80]",NC-US
30,Local-gov,190709,Assoc-acdm,Protective-serv,Not-in-family,White,Male,0,0,<=50K,"(15, 30]","(40, 60]",NC-US
43,Private,94638,HS-grad,Adm-clerical,Unmarried,White,Female,0,0,<=50K,"(45, 60]","(20, 40]",NC-US
44,Private,289980,HS-grad,Handlers-cleaners,Not-in-family,White,Male,0,0,<=50K,"(15, 30]","(20, 40]",NC-US
47,Private,128354,Masters,Exec-managerial,Unmarried,White,Female,0,0,<=50K,"(30, 45]","(20, 40]",NC-US
49,Private,271466,Assoc-voc,Prof-specialty,Not-in-family,White,Male,0,0,<=50K,"(15, 30]","(40, 60]",NC-US
53,Federal-gov,251585,Bachelors,Exec-managerial,Not-in-family,White,Male,0,0,>50K,"(45, 60]","(40, 60]",NC-US
54,Self-emp-inc,109832,HS-grad,Exec-managerial,Not-in-family,White,Male,0,0,<=50K,"(45, 60]","(40, 60]",NC-US
64,Private,105598,Some-college,Tech-support,Not-in-family,White,Male,0,0,<=50K,"(15, 30]","(40, 60]",NC-US
66,Private,183175,Some-college,Adm-clerical,Not-in-family,White,Female,0,0,<=50K,"(15, 30]","(20, 40]",NC-US
73,Private,211678,Some-college,Machine-op-inspct,Not-in-family,White,Male,0,0,<=50K,"(15, 30]","(20, 40]",NC-US
80,Private,446839,HS-grad,Sales,Not-in-family,White,Male,0,0,<=50K,"(15, 30]","(20, 40]",NC-US
84,Private,343591,HS-grad,Craft-repair,Not-in-family,White,Female,14344,0,>50K,"(30, 45]","(20, 40]",NC-US
88,Private,54334,9th,Sales,Not-in-family,White,Male,0,0,<=50K,"(15, 30]","(20, 40]",NC-US
89,Federal-gov,410867,Doctorate,Prof-specialty,Not-in-family,White,Female,0,0,>50K,"(30, 45]","(40, 60]",NC-US
91,Private,286730,Some-college,Craft-repair,Unmarried,White,Female,0,0,<=50K,"(30, 45]","(20, 40]",NC-US
92,Private,212563,Some-college,Machine-op-inspct,Unmarried,Black,Female,0,0,<=50K,"(15, 30]","(20, 40]",NC-US
95,Local-gov,115585,Some-college,Handlers-cleaners,Not-in-family,White,Male,0,0,<=50K,"(15, 30]","(40, 60]",NC-US
102,Self-emp-not-inc,149116,Masters,Prof-specialty,Not-in-family,White,Female,0,0,<=50K,"(45, 60]","(40, 60]",NC-US
104,Private,103432,HS-grad,Craft-repair,Not-in-family,White,Male,0,0,<=50K,"(15, 30]","(20, 40]",NC-US
108,Local-gov,189265,HS-grad,Adm-clerical,Not-in-family,White,Female,0,0,<=50K,"(30, 45]","(20, 40]",NC-US
119,Private,102632,HS-grad,Craft-repair,Not-in-family,White,Male,0,0,<=50K,"(15, 30]","(40, 60]",NC-US
129,Private,365739,Some-college,Craft-repair,Not-in-family,White,Male,0,0,<=50K,"(30, 45]","(20, 40]",NC-US
130,Private,69621,Assoc-acdm,Sales,Not-in-family,White,Female,0,0,<=50K,"(15, 30]","(40, 60]",NC-US
